Humidity,Temperature C,Room Temp,Room Humidity,Dry/Wet
73.5,31,31,73.1,Dry
80.9,30.8,31,73.1,Wet
81.9,30.7,31,73.1,Wet
80.1,30.6,31,73.1,Wet
76.4,30.6,31,73.1,Dry
73.9,30.8,31,73.1,Dry
73.6,30.9,31,73.1,Dry
73.6,30.9,31,73.1,Dry
73.1,31.1,31,73.1,Wet
81.2,31.2,31,73.1,Wet
83,31.2,31,73.1,Wet
83.6,31.2,31,73.1,Wet
82.3,31.2,31,73.1,Wet
79.8,30.9,31,73.1,Wet
80.2,30.9,31,73.1,Wet
73.9,30.8,31,73.1,Dry
73.6,30.9,31,73.1,Dry
73.4,30.9,31,73.1,Dry
73.3,31,31,73.1,Dry
73.1,31.1,31,73.1,Dry
73.6,30.9,31,73.1,Dry
73.3,31,31,73.1,Dry
73.2,31,31,73.1,Dry
73.1,31,31,73.1,Dry
72.9,31.1,31,73.1,Dry
72.8,31.1,31,73.1,Dry
72.7,31.1,31,73.1,Dry
77.8,31.1,31,73.1,Wet
81.1,30.9,31,73.1,Wet
81.4,30.7,31,73.1,Wet
80.8,30.4,31,73.1,Wet
81.4,30,31,73.1,Wet
81.9,29.9,31,73.1,Wet
82.8,29.6,31,73.1,Wet
83.3,29.4,31,73.1,Wet
83.9,29.2,31,73.1,Wet
84.1,29.1,31,73.1,Wet
84.4,29,31,73.1,Wet
85.2,28.9,31,73.1,Wet
85.5,28.8,31,73.1,Wet
84.7,28.8,31,73.1,Wet
86.4,28.9,31,73.1,Wet
76.8,30.6,31,73.1,Dry
75.8,30.8,31,73.1,Dry
75.6,30.8,31,73.1,Dry
75.5,30.9,31,73.1,Dry
75.3,31,31,73.1,Dry
73.5,31.1,31,73.1,Dry
74.1,31.3,31,73.1,Dry
75.3,31.5,31,73.1,Dry
73.6,31.7,31,73.1,Dry
72.3,31.8,31,73.1,Dry
71.5,31.9,31,73.1,Dry
71,31.8,31,73.1,Dry
70.6,31.9,31,73.1,Dry
70.4,31.9,31,73.1,Dry
70.3,31.9,31,73.1,Dry
70.2,31.8,31,73.1,Dry
70.3,31.8,31,73.1,Dry
70.4,31.8,31,73.1,Dry
72,31.5,31,73.1,Dry
72.1,31.4,31,73.1,Dry
71.9,31.4,31,73.1,Dry
73.1,31.5,31,73.1,Dry
73.5,31.6,31,73.1,Dry
72.8,31.6,31,73.1,Dry
71.6,31.6,31,73.1,Dry
71.4,31.6,31,73.1,Dry
71.6,31.5,31,73.1,Dry
73.4,31.5,31,73.1,Dry
73.5,31.5,31,73.1,Dry
73.7,31.6,31,73.1,Dry
73.1,31.7,31,73.1,Dry
73,31.7,31,73.1,Dry
72.9,31.8,31,73.1,Dry
72.3,31.7,31,73.1,Dry
63.1,30.1,30.2,62.3,Dry
64.1,30.1,30.2,62.3,Dry
64.4,30.2,30.2,62.3,Dry
63.9,30.2,30.2,62.3,Dry
64.1,30.2,30.2,62.3,Dry
64.2,30.2,30.2,62.3,Dry
63.9,30.3,30.2,62.3,Dry
63.5,30.3,30.2,62.3,Dry
63.3,30.2,30.2,62.3,Dry
63,30.4,30.2,62.3,Dry
81.2,29.4,30.2,62.3,Wet
79.9,29,30.2,62.3,Wet
79.5,28.6,30.2,62.3,Wet
79.9,28.3,30.2,62.3,Wet
80.3,28.1,30.2,62.3,Wet
80.2,27.9,30.2,62.3,Wet
79.9,27.8,30.2,62.3,Wet
83.2,27.8,30.2,62.3,Wet
84.4,27.7,30.2,62.3,Wet
85.1,27.6,30.2,62.3,Wet
84.9,27.6,30.2,62.3,Wet
84.8,27.6,30.2,62.3,Wet
84.5,27.6,30.2,62.3,Wet
67.7,30.3,30.2,62.3,Dry
67.5,30.4,30.2,62.3,Dry
67.3,30.4,30.2,62.3,Dry
67.6,30.5,30.2,62.3,Dry
67.6,30.6,30.2,62.3,Dry
67.5,30.6,30.2,62.3,Dry
67.7,30.6,30.2,62.3,Dry
67.5,30.6,30.2,62.3,Dry
67.5,30.7,30.2,62.3,Dry
69.6,30.8,30.2,62.3,Dry
71.6,30.9,30.2,62.3,Dry
